ID,Name,PositionLat,PositionLon
C1_376580000A_000101,新竹公園(中山公園),24.801246,120.977132
C1_376580000A_000029,進士第,24.809472,120.965333
C1_376580000A_000037,楊氏節孝坊,24.803107,120.964563
C1_376580000A_000045,香山火車站,24.763124,120.913918
C1_376580000A_000085,于飛島(鳥島),24.774943,120.971808
C1_376580000A_000079,十草原(櫻花草原),24.76732,120.937865
C1_376580000A_000007,新竹都城隍廟,24.804398,120.965658
C1_376580000A_000042,鄭用錫墓,24.787917,120.970948
C1_376580000A_000027,消防博物館,24.806467,120.968163
C1_376580000A_000044,新竹神社殘跡(大陸人民處理中心),24.7929,120.952789
C1_376580000A_000009,金山寺﹝開臺金山寺﹞,24.777461,121.015102
C1_376580000A_000093,進益摃丸文化會館,24.805659,120.965918
C1_376580000A_000065,國父百年紀念亭,24.792532,120.984798
C1_376580000A_000053,風情海岸,24.778881,120.914522
C1_376580000A_000010,國立清華大學,24.796652,120.996919
C1_376580000A_000089,青草湖風景紀念碑,24.775099,120.969526
C1_376580000A_000012,國立新竹教育大學,24.794512,120.965199
C1_376580000A_000006,竹塹城迎曦門(東門城迎曦門),24.80431,120.970201
C1_376580000A_000003,新竹火車站－站前廣場,24.802119,120.971301
C1_376580000A_000018,南寮漁港(南寮舊港),24.849556,120.930417
C1_376580000A_000030,新竹長和宮,24.808478,120.965014
C1_376580000A_000107,空軍村11村,24.801763,120.978995
C1_376580000A_000055,南港賞鳥區,24.743345,120.894024
C1_376580000A_000102,金城湖,24.80995,120.909986
C1_376580000A_000046,新竹市立動物園,24.801525,120.979696
C1_376580000A_000083,映月橋,24.775479,120.971602
C1_376580000A_000100,清大夜市,24.796641,120.998272
C1_376580000A_000041,國立新竹高中劍道館,24.794049,120.981247
C1_376580000A_000054,海山漁港觀海台,24.767067,120.901451
C1_376580000A_000025,影像博物館,24.805014,120.969657
C1_376580000A_000088,無上和尚紀念公園,24.771412,120.973998
C1_376580000A_000002,新竹驛(新竹火車站),24.801943,120.971677
C1_376580000A_000019,麗池九曲橋,24.801749,120.978709
C1_376580000A_000034,蘇氏節孝坊,24.81963,120.971645
C1_376580000A_000035,新竹州市役所(新竹市美術館暨開拓館),24.806433,120.970062
C1_376580000A_000039,新竹專賣局,24.804071,120.972251
C1_376580000A_000021,十八尖山,24.794955,120.986284
C1_376580000A_000016,新竹港南濱海風景區,24.82273,120.909863
C1_376580000A_000078,九草原(第三草原),24.768879,120.932318
C1_376580000A_000024,玻璃工藝博物館,24.801262,120.977111
C1_376580000A_000080,青青草原生態池,24.772269,120.926497
C1_376580000A_000017,十七公里海岸風景區,24.851511,120.923123
C1_376580000A_000052,紅樹林公園,24.808035,120.917829
C1_376580000A_000043,李錫金孝子坊,24.780121,120.967417
C1_376580000A_000094,眷村博物館,24.814088,120.96701
C1_376580000A_000098,科技生活館,24.779833,121.005454
C1_376580000A_000082,鳳凰橋,24.775457,120.969493
C1_376580000A_000048,十七公里海岸風景區旅遊服務中心,24.848946,120.928166
C1_376580000A_000004,新竹孔廟,24.800195,120.978098
C1_376580000A_000086,北岸咖啡區,24.773838,120.971017
C1_376580000A_000014,玄奘大學,24.774734,120.944055
C1_376580000A_000015,元培科技大學,24.777724,120.940515
C1_376580000A_000051,海天一線看海區,24.832759,120.91542
C1_376580000A_000022,靜心湖,24.778796,121.011
C1_376580000A_000028,鄭氏家廟,24.810003,120.965459
C1_376580000A_000074,十九公頃青青草原,24.772805,120.925516
C1_376580000A_000096,金城湖賞鳥區,24.812057,120.907545
C1_376580000A_000084,生態教育平台,24.774874,120.971716
C1_376580000A_000047,新竹漁港,24.84818,120.92514
C1_376580000A_000069,動力基準站,24.793805,120.986725
C1_376580000A_000076,情草原(第一草原),24.772635,120.931643
C1_376580000A_000061,幸福亭,24.793385,120.985565
C1_376580000A_000036,新竹關帝廟,24.802722,120.966623
C1_376580000A_000008,竹蓮寺,24.798817,120.969982
C1_376580000A_000020,青草湖,24.775396,120.971178
C1_376580000A_000056,變葉木步道,24.795316,120.986295
C1_376580000A_000087,青草湖靈隱寺,24.770857,120.973377
C1_376580000A_000026,古奇峰文物館,24.780067,120.979211
C1_376580000A_000038,新竹州圖書館,24.80525,120.971221
C1_376580000A_000011,國立交通大學,24.789257,120.999945
C1_376580000A_000032,新竹信用組合,24.805957,120.967807
C1_376580000A_000091,天公壇公園吊橋,24.798627,120.958274
C1_376580000A_000106,香山牧場,24.800313,120.949377
C1_376580000A_000104,古奇峰,24.780382,120.978893
C1_376580000A_000113,園區園,24.778796,121.011
C1_376580000A_000062,觀音亭,24.792467,120.984712
C1_376580000A_000031,新竹水仙宮,24.808478,120.965014
C1_376580000A_000092,飛機模型陳列館,24.830427,120.957155
C1_376580000A_000097,香山溼地,24.778884,120.91409
C1_376580000A_000040,辛志平校長故居,24.8042,120.973949
C1_376580000A_000013,中華大學,24.757071,120.95241
C1_376580000A_000005,新竹護城河親水公園,24.804195,120.970234
C1_376580000A_000033,張氏節孝坊,24.816941,120.969923
C1_376580000A_000099,北門大街,24.805138,120.966092
C1_376580000A_000057,桂花巷,24.790806,120.980008
C1_A25000000E_100009,蘇格貓底二手書咖啡店,24.796441,120.996665
C1_376580000A_000023,高峰植物園,24.788137,120.982363
C1_376580000A_000001,新竹州廳(新竹市政府),24.806701,120.968635
C1_376580000A_000050,看海公園,24.834848,120.918762
C1_376580000A_000077,公草原(第二草原),24.767759,120.929486
C1_376580000A_000067,早起會廣場,24.791342,120.981231
C1_376580000A_000095,風livehouse,24.800738,120.976894
C1_376580000A_000105,海山漁港,24.764602,120.903231
C1_A25000000E_000017,國立新竹生活美學館,24.80327,120.96699
