"","GEOID","NAME","REGION","AREA","total_pop_10","total_pop_15"
"1","01","Alabama","South",133709.272642372,4712651,4830620
"2","04","Arizona","West",295281.254837427,6246816,6641928
"3","08","Colorado","West",269573.057693748,4887061,5278906
"4","09","Connecticut","Norteast",12976.5882142576,3545837,3593222
"5","12","Florida","South",151052.005156211,18511620,19645772
"6","13","Georgia","South",152725.213500135,9468815,10006693
"7","16","Idaho","West",216512.658632177,1526797,1616547
"8","18","Indiana","Midwest",93648.3950219327,6417398,6568645
"9","20","Kansas","Midwest",213037.083282151,2809329,2892987
"10","22","Louisiana","South",122345.762695332,4429940,4625253
"11","25","Massachusetts","Norteast",20910.7502365426,6477096,6705586
"12","27","Minnesota","Midwest",218566.490949372,5241914,5419171
"13","29","Missouri","Midwest",180716.28959038,5922314,6045448
"14","30","Montana","West",380829.17649464,973739,1014699
"15","32","Nevada","West",286363.716001051,2633331,2798636
"16","34","New Jersey","Norteast",20273.6710592498,8721577,8904413
"17","36","New York","Norteast",127202.002502651,19229752,19673174
"18","38","North Dakota","Midwest",183177.829746362,659858,721640
"19","40","Oklahoma","South",180971.397463298,3675339,3849733
"20","42","Pennsylvania","Norteast",117242.458297633,12612705,12779559
"21","45","South Carolina","South",80903.5815515015,4511428,4777576
"22","46","South Dakota","Midwest",199766.833747597,799462,843190
"23","48","Texas","South",687714.281104593,24311891,26538614
"24","50","Vermont","Norteast",24866.1577307178,624258,626604
"25","54","West Virginia","South",62813.302890542,1840802,1851420
"26","05","Arkansas","South",137689.869879808,2872684,2958208
"27","06","California","West",409747.075055193,36637290,38421464
"28","10","Delaware","South",5181.84378802615,881278,926454
"29","11","District of Columbia","South",178.210020017639,584400,647484
"30","17","Illinois","Midwest",145993.10660939,12745359,12873761
"31","19","Iowa","Midwest",145743.680633249,3016267,3093526
"32","21","Kentucky","South",104457.818653545,4285828,4397353
"33","23","Maine","Norteast",85519.75525011,1327665,1329100
"34","24","Maryland","South",26848.7214568388,5696423,5930538
"35","26","Michigan","Midwest",151119.012715939,9952687,9900571
"36","28","Mississippi","South",123744.744011315,2941991,2988081
"37","31","Nebraska","Midwest",200272.337153375,1799125,1869365
"38","33","New Hampshire","Norteast",24026.4792614893,1313939,1324201
"39","35","New Mexico","West",314886.096813849,2013122,2084117
"40","37","North Carolina","South",129232.747590632,9271178,9845333
"41","39","Ohio","Midwest",107051.35973675,11512431,11575977
"42","41","Oregon","West",251346.240481979,3761925,3939233
"43","44","Rhode Island","Norteast",2743.05658478368,1056389,1053661
"44","47","Tennessee","South",109113.899859012,6234968,6499615
"45","49","Utah","West",219859.796916458,2657236,2903379
"46","51","Virginia","South",105404.661542936,7841754,8256630
"47","53","Washington","West",175436.047636222,6561297,6985464
"48","55","Wisconsin","Midwest",144954.350033622,5637947,5742117
"49","56","Wyoming","West",253309.559108904,545579,579679
